GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TomeBackendApp James Monks,com.tome.main.Enitities,CharSkills,0,45,0,0,0,20,0,9,0,9
TomeBackendApp James Monks,com.tome.main.Enitities,CharSpell,0,45,0,0,0,20,0,9,0,9
TomeBackendApp James Monks,com.tome.main.Enitities,Skill,40,66,0,0,20,24,10,12,10,12
TomeBackendApp James Monks,com.tome.main.Enitities,Characters,0,188,0,0,0,75,0,31,0,31
TomeBackendApp James Monks,com.tome.main.Enitities,CharSkillGroup,24,0,0,0,10,0,7,0,7,0
TomeBackendApp James Monks,com.tome.main.Enitities,Player,0,84,0,0,0,35,0,15,0,15
TomeBackendApp James Monks,com.tome.main.Enitities,Headrefs,21,3,0,0,9,1,6,1,6,1
TomeBackendApp James Monks,com.tome.main.Enitities,Spell,24,60,0,0,12,23,6,9,6,9
TomeBackendApp James Monks,com.tome.main.Services,SkillServices,0,22,0,0,0,4,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Services,PlayerServices,3,86,4,6,2,23,4,7,0,6
TomeBackendApp James Monks,com.tome.main.Services,SpellServices,0,21,0,0,0,4,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Services,CharacterServices,3,109,0,0,2,24,0,5,0,5
TomeBackendApp James Monks,com.tome.main.Services,HeadrefServices,4,3,0,0,1,1,1,1,1,1
TomeBackendApp James Monks,com.tome.main.Services,CharSpellServices,0,19,0,0,0,5,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Services,CharSkillServices,0,19,0,0,0,5,0,4,0,4
TomeBackendApp James Monks,com.tome.main,TomeBackendAppApplication,5,3,0,0,2,1,1,1,1,1
TomeBackendApp James Monks,com.tome.main.Controllers,HeadrefsController,4,3,0,0,1,1,1,1,1,1
TomeBackendApp James Monks,com.tome.main.Controllers,CharacterController,0,42,0,0,0,8,0,5,0,5
TomeBackendApp James Monks,com.tome.main.Controllers,SpellController,0,17,0,0,0,4,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Controllers,SkillController,0,18,0,0,0,4,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Controllers,CharSpellController,0,30,0,0,0,6,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Controllers,CharSkillController,0,30,0,0,0,6,0,4,0,4
TomeBackendApp James Monks,com.tome.main.Controllers,PlayerController,0,40,0,0,0,8,0,6,0,6
TomeBackendApp James Monks,com.tome.main.Exceptions,CharacterNotFoundException,3,0,0,0,1,0,1,0,1,0
TomeBackendApp James Monks,com.tome.main.Exceptions,PlayerNotFoundException,3,0,0,0,1,0,1,0,1,0
TomeBackendApp James Monks,com.tome.main.Exceptions,SpellNotFoundException,3,0,0,0,1,0,1,0,1,0
TomeBackendApp James Monks,com.tome.main.Exceptions,SkillNotFoundException,3,0,0,0,1,0,1,0,1,0
